tech,zone,year,month,hour,unit,value
Solar,Thailand,2023,1,436,fraction,0.0
Solar,Thailand,2023,1,437,fraction,0.0
Solar,Thailand,2023,1,438,fraction,0.0
Solar,Thailand,2023,1,439,fraction,0.0
Solar,Thailand,2023,1,440,fraction,0.046
Solar,Thailand,2023,1,441,fraction,0.242
Solar,Thailand,2023,1,442,fraction,0.417
Solar,Thailand,2023,1,443,fraction,0.543
Solar,Thailand,2023,1,444,fraction,0.631
Solar,Thailand,2023,1,445,fraction,0.678
Solar,Thailand,2023,1,446,fraction,0.68
Solar,Thailand,2023,1,447,fraction,0.62
Solar,Thailand,2023,1,448,fraction,0.528
Solar,Thailand,2023,1,449,fraction,0.37
Solar,Thailand,2023,1,450,fraction,0.201
Solar,Thailand,2023,1,451,fraction,0.046
Solar,Thailand,2023,1,452,fraction,0.0
Solar,Thailand,2023,1,453,fraction,0.0
Solar,Thailand,2023,1,454,fraction,0.0
Solar,Thailand,2023,1,455,fraction,0.0
Solar,Thailand,2023,1,456,fraction,0.0
Solar,Thailand,2023,1,457,fraction,0.0
Solar,Thailand,2023,1,458,fraction,0.0
Solar,Thailand,2023,1,459,fraction,0.0
Solar,Thailand,2023,1,460,fraction,0.0
Solar,Thailand,2023,1,461,fraction,0.0
Solar,Thailand,2023,1,462,fraction,0.0
Solar,Thailand,2023,1,463,fraction,0.0
Solar,Thailand,2023,1,464,fraction,0.046
Solar,Thailand,2023,1,465,fraction,0.229
Solar,Thailand,2023,1,466,fraction,0.416
Solar,Thailand,2023,1,467,fraction,0.561
Solar,Thailand,2023,1,468,fraction,0.638
Solar,Thailand,2023,1,469,fraction,0.679
Solar,Thailand,2023,1,470,fraction,0.675
Solar,Thailand,2023,1,471,fraction,0.627
Solar,Thailand,2023,1,472,fraction,0.536
Solar,Thailand,2023,1,473,fraction,0.408
Solar,Thailand,2023,1,474,fraction,0.215
Solar,Thailand,2023,1,475,fraction,0.051
Solar,Thailand,2023,1,476,fraction,0.0
Solar,Thailand,2023,1,477,fraction,0.0
Solar,Thailand,2023,1,478,fraction,0.0
Solar,Thailand,2023,1,479,fraction,0.0
Solar,Thailand,2023,1,480,fraction,0.0
Solar,Thailand,2023,1,481,fraction,0.0
Solar,Thailand,2023,1,482,fraction,0.0
Solar,Thailand,2023,1,483,fraction,0.0
Solar,Thailand,2023,1,484,fraction,0.0
Solar,Thailand,2023,1,485,fraction,0.0
Solar,Thailand,2023,1,486,fraction,0.0
Solar,Thailand,2023,1,487,fraction,0.0
Solar,Thailand,2023,1,488,fraction,0.031
Solar,Thailand,2023,1,489,fraction,0.154
Solar,Thailand,2023,1,490,fraction,0.281
Solar,Thailand,2023,1,491,fraction,0.381
Solar,Thailand,2023,1,492,fraction,0.435
Solar,Thailand,2023,1,493,fraction,0.463
Solar,Thailand,2023,1,494,fraction,0.459
Solar,Thailand,2023,1,495,fraction,0.419
Solar,Thailand,2023,1,496,fraction,0.348
Solar,Thailand,2023,1,497,fraction,0.228
Solar,Thailand,2023,1,498,fraction,0.103
