station_id,year,month,unit,value
8,1,46,m3,545000000.0
8,1,47,m3,545000000.0
8,1,48,m3,545000000.0
9,1,1,m3,572000000.0
9,1,2,m3,572000000.0
9,1,3,m3,572000000.0
9,1,4,m3,572000000.0
9,1,5,m3,572000000.0
9,1,6,m3,572000000.0
9,1,7,m3,572000000.0
9,1,8,m3,572000000.0
9,1,9,m3,572000000.0
9,1,10,m3,572000000.0
9,1,11,m3,572000000.0
9,1,12,m3,572000000.0
9,1,13,m3,572000000.0
9,1,14,m3,572000000.0
9,1,15,m3,572000000.0
9,1,16,m3,572000000.0
9,1,17,m3,572000000.0
9,1,18,m3,572000000.0
9,1,19,m3,572000000.0
9,1,20,m3,572000000.0
9,1,21,m3,572000000.0
9,1,22,m3,572000000.0
9,1,23,m3,572000000.0
9,1,24,m3,572000000.0
9,1,25,m3,572000000.0
9,1,26,m3,572000000.0
9,1,27,m3,572000000.0
9,1,28,m3,572000000.0
9,1,29,m3,572000000.0
9,1,30,m3,572000000.0
9,1,31,m3,572000000.0
9,1,32,m3,572000000.0
9,1,33,m3,572000000.0
9,1,34,m3,572000000.0
9,1,35,m3,572000000.0
9,1,36,m3,572000000.0
9,1,37,m3,572000000.0
9,1,38,m3,572000000.0
9,1,39,m3,572000000.0
9,1,40,m3,572000000.0
9,1,41,m3,572000000.0
9,1,42,m3,572000000.0
9,1,43,m3,572000000.0
9,1,44,m3,572000000.0
9,1,45,m3,572000000.0
9,1,46,m3,572000000.0
9,1,47,m3,572000000.0
9,1,48,m3,572000000.0
10,1,1,m3,416000000.0
10,1,2,m3,416000000.0
10,1,3,m3,416000000.0
10,1,4,m3,416000000.0
10,1,5,m3,416000000.0
10,1,6,m3,416000000.0
10,1,7,m3,416000000.0
10,1,8,m3,416000000.0
10,1,9,m3,416000000.0
10,1,10,m3,416000000.0
10,1,11,m3,416000000.0
10,1,12,m3,416000000.0
10,1,13,m3,416000000.0
10,1,14,m3,416000000.0
10,1,15,m3,416000000.0
10,1,16,m3,416000000.0
10,1,17,m3,416000000.0
10,1,18,m3,416000000.0
10,1,19,m3,416000000.0
10,1,20,m3,416000000.0
10,1,21,m3,416000000.0
10,1,22,m3,416000000.0
10,1,23,m3,416000000.0
10,1,24,m3,416000000.0
10,1,25,m3,416000000.0
10,1,26,m3,416000000.0
10,1,27,m3,416000000.0
10,1,28,m3,416000000.0
10,1,29,m3,416000000.0
10,1,30,m3,416000000.0
10,1,31,m3,416000000.0
10,1,32,m3,416000000.0
10,1,33,m3,416000000.0
10,1,34,m3,416000000.0
10,1,35,m3,416000000.0
10,1,36,m3,416000000.0
10,1,37,m3,416000000.0
10,1,38,m3,416000000.0
10,1,39,m3,416000000.0
10,1,40,m3,416000000.0
10,1,41,m3,416000000.0
10,1,42,m3,416000000.0
10,1,43,m3,416000000.0
10,1,44,m3,416000000.0
10,1,45,m3,416000000.0
10,1,46,m3,416000000.0
10,1,47,m3,416000000.0
10,1,48,m3,416000000.0
11,1,1,m3,478000000.0
11,1,2,m3,478000000.0
11,1,3,m3,478000000.0
11,1,4,m3,478000000.0
11,1,5,m3,478000000.0
11,1,6,m3,478000000.0
11,1,7,m3,478000000.0
11,1,8,m3,478000000.0
11,1,9,m3,478000000.0
11,1,10,m3,478000000.0
11,1,11,m3,478000000.0
11,1,12,m3,478000000.0
11,1,13,m3,478000000.0
11,1,14,m3,478000000.0
11,1,15,m3,478000000.0
11,1,16,m3,478000000.0
11,1,17,m3,478000000.0
11,1,18,m3,478000000.0
11,1,19,m3,478000000.0
11,1,20,m3,478000000.0
11,1,21,m3,478000000.0
11,1,22,m3,478000000.0
11,1,23,m3,478000000.0
11,1,24,m3,478000000.0
11,1,25,m3,478000000.0
11,1,26,m3,478000000.0
11,1,27,m3,478000000.0
11,1,28,m3,478000000.0
11,1,29,m3,478000000.0
11,1,30,m3,478000000.0
11,1,31,m3,478000000.0
11,1,32,m3,478000000.0
11,1,33,m3,478000000.0
11,1,34,m3,478000000.0
11,1,35,m3,478000000.0
11,1,36,m3,478000000.0
11,1,37,m3,478000000.0
11,1,38,m3,478000000.0
11,1,39,m3,478000000.0
11,1,40,m3,478000000.0
11,1,41,m3,478000000.0
11,1,42,m3,478000000.0
11,1,43,m3,478000000.0
11,1,44,m3,478000000.0
11,1,45,m3,478000000.0
11,1,46,m3,478000000.0
11,1,47,m3,478000000.0
11,1,48,m3,478000000.0
12,1,1,m3,1070000000.0
12,1,2,m3,1070000000.0
12,1,3,m3,1070000000.0
12,1,4,m3,1070000000.0
12,1,5,m3,1070000000.0
12,1,6,m3,1070000000.0
12,1,7,m3,1070000000.0
12,1,8,m3,1070000000.0
12,1,9,m3,1070000000.0
12,1,10,m3,1070000000.0
12,1,11,m3,1070000000.0
12,1,12,m3,1070000000.0
12,1,13,m3,1070000000.0
12,1,14,m3,1070000000.0
12,1,15,m3,1070000000.0
12,1,16,m3,1070000000.0
12,1,17,m3,1070000000.0
12,1,18,m3,1070000000.0
12,1,19,m3,1070000000.0
12,1,20,m3,1070000000.0
12,1,21,m3,1070000000.0
12,1,22,m3,1070000000.0
12,1,23,m3,1070000000.0
12,1,24,m3,1070000000.0
12,1,25,m3,1070000000.0
12,1,26,m3,1070000000.0
12,1,27,m3,1070000000.0
12,1,28,m3,1070000000.0
12,1,29,m3,1070000000.0
12,1,30,m3,1070000000.0
12,1,31,m3,1070000000.0
12,1,32,m3,1070000000.0
12,1,33,m3,1070000000.0
12,1,34,m3,1070000000.0
12,1,35,m3,1070000000.0
12,1,36,m3,1070000000.0
12,1,37,m3,1070000000.0
12,1,38,m3,1070000000.0
12,1,39,m3,1070000000.0
12,1,40,m3,1070000000.0
12,1,41,m3,1070000000.0
12,1,42,m3,1070000000.0
12,1,43,m3,1070000000.0
12,1,44,m3,1070000000.0
12,1,45,m3,1070000000.0
12,1,46,m3,1070000000.0
12,1,47,m3,1070000000.0
12,1,48,m3,1070000000.0
13,1,1,m3,2460000000.0
13,1,2,m3,2460000000.0
13,1,3,m3,2460000000.0
13,1,4,m3,2460000000.0
13,1,5,m3,2460000000.0
13,1,6,m3,2460000000.0
13,1,7,m3,2460000000.0
13,1,8,m3,2460000000.0
13,1,9,m3,2460000000.0
13,1,10,m3,2460000000.0
13,1,11,m3,2460000000.0
13,1,12,m3,2460000000.0
13,1,13,m3,2460000000.0
13,1,14,m3,2460000000.0
13,1,15,m3,2460000000.0
13,1,16,m3,2460000000.0
13,1,17,m3,2460000000.0
13,1,18,m3,2460000000.0
13,1,19,m3,2460000000.0
13,1,20,m3,2460000000.0
13,1,21,m3,2460000000.0
13,1,22,m3,2460000000.0
13,1,23,m3,2460000000.0
13,1,24,m3,2460000000.0
13,1,25,m3,2460000000.0
13,1,26,m3,2460000000.0
13,1,27,m3,2460000000.0
13,1,28,m3,2460000000.0
13,1,29,m3,2460000000.0
13,1,30,m3,2460000000.0
13,1,31,m3,2460000000.0
13,1,32,m3,2460000000.0
13,1,33,m3,2460000000.0
13,1,34,m3,2460000000.0
13,1,35,m3,2460000000.0
13,1,36,m3,2460000000.0
13,1,37,m3,2460000000.0
13,1,38,m3,2460000000.0
13,1,39,m3,2460000000.0
13,1,40,m3,2460000000.0
13,1,41,m3,2460000000.0
13,1,42,m3,2460000000.0
13,1,43,m3,2460000000.0
13,1,44,m3,2460000000.0
13,1,45,m3,2460000000.0
13,1,46,m3,2460000000.0
13,1,47,m3,2460000000.0
13,1,48,m3,2460000000.0
14,1,1,m3,210000000.0
14,1,2,m3,210000000.0
14,1,3,m3,210000000.0
14,1,4,m3,210000000.0
14,1,5,m3,210000000.0
14,1,6,m3,210000000.0
14,1,7,m3,210000000.0
14,1,8,m3,210000000.0
14,1,9,m3,210000000.0
14,1,10,m3,210000000.0
14,1,11,m3,210000000.0
14,1,12,m3,210000000.0
14,1,13,m3,210000000.0
14,1,14,m3,210000000.0
14,1,15,m3,210000000.0
14,1,16,m3,210000000.0
14,1,17,m3,210000000.0
14,1,18,m3,210000000.0
14,1,19,m3,210000000.0
14,1,20,m3,210000000.0
14,1,21,m3,210000000.0
14,1,22,m3,210000000.0
14,1,23,m3,210000000.0
14,1,24,m3,210000000.0
14,1,25,m3,210000000.0
14,1,26,m3,210000000.0
14,1,27,m3,210000000.0
14,1,28,m3,210000000.0
14,1,29,m3,210000000.0
14,1,30,m3,210000000.0
14,1,31,m3,210000000.0
14,1,32,m3,210000000.0
14,1,33,m3,210000000.0
14,1,34,m3,210000000.0
14,1,35,m3,210000000.0
14,1,36,m3,210000000.0
14,1,37,m3,210000000.0
14,1,38,m3,210000000.0
14,1,39,m3,210000000.0
14,1,40,m3,210000000.0
14,1,41,m3,210000000.0
14,1,42,m3,210000000.0
14,1,43,m3,210000000.0
14,1,44,m3,210000000.0
14,1,45,m3,210000000.0
14,1,46,m3,210000000.0
14,1,47,m3,210000000.0
14,1,48,m3,210000000.0
15,1,1,m3,798000000.0
15,1,2,m3,798000000.0
15,1,3,m3,798000000.0
15,1,4,m3,798000000.0
15,1,5,m3,798000000.0
15,1,6,m3,798000000.0
15,1,7,m3,798000000.0
15,1,8,m3,798000000.0
15,1,9,m3,798000000.0
15,1,10,m3,798000000.0
15,1,11,m3,798000000.0
15,1,12,m3,798000000.0
15,1,13,m3,798000000.0
15,1,14,m3,798000000.0
15,1,15,m3,798000000.0
15,1,16,m3,798000000.0
15,1,17,m3,798000000.0
15,1,18,m3,798000000.0
15,1,19,m3,798000000.0
15,1,20,m3,798000000.0
15,1,21,m3,798000000.0
15,1,22,m3,798000000.0
15,1,23,m3,798000000.0
15,1,24,m3,798000000.0
15,1,25,m3,798000000.0
15,1,26,m3,798000000.0
15,1,27,m3,798000000.0
15,1,28,m3,798000000.0
15,1,29,m3,798000000.0
15,1,30,m3,798000000.0
15,1,31,m3,798000000.0
15,1,32,m3,798000000.0
15,1,33,m3,798000000.0
15,1,34,m3,798000000.0
15,1,35,m3,798000000.0
15,1,36,m3,798000000.0
15,1,37,m3,798000000.0
15,1,38,m3,798000000.0
15,1,39,m3,798000000.0
15,1,40,m3,798000000.0
15,1,41,m3,798000000.0
15,1,42,m3,798000000.0
15,1,43,m3,798000000.0
15,1,44,m3,798000000.0
15,1,45,m3,798000000.0
15,1,46,m3,798000000.0
15,1,47,m3,798000000.0
15,1,48,m3,798000000.0
