zone1,zone2,year,unit,capacity_max,capacity_min
bus214,bus229,2023,MW,0.0,0.0
bus229,bus215,2023,MW,0.0,0.0
bus215,bus229,2023,MW,0.0,0.0
bus229,bus219,2023,MW,0.0,0.0
bus219,bus229,2023,MW,0.0,0.0
bus229,bus233,2023,MW,0.0,0.0
bus233,bus229,2023,MW,0.0,0.0
bus229,bus234,2023,MW,0.0,0.0
bus234,bus229,2023,MW,0.0,0.0
bus229,bus265,2023,MW,0.0,0.0
bus265,bus229,2023,MW,0.0,0.0
bus23,bus24,2023,MW,0.0,0.0
bus24,bus23,2023,MW,0.0,0.0
bus23,bus43,2023,MW,0.0,0.0
bus43,bus23,2023,MW,0.0,0.0
bus23,bus57,2023,MW,0.0,0.0
bus57,bus23,2023,MW,0.0,0.0
bus233,bus236,2023,MW,0.0,0.0
bus236,bus233,2023,MW,0.0,0.0
bus233,bus261,2023,MW,0.0,0.0
bus261,bus233,2023,MW,0.0,0.0
bus234,bus235,2023,MW,0.0,0.0
bus235,bus234,2023,MW,0.0,0.0
bus234,bus236,2023,MW,0.0,0.0
bus236,bus234,2023,MW,0.0,0.0
bus234,bus243,2023,MW,0.0,0.0
bus243,bus234,2023,MW,0.0,0.0
bus236,bus213,2023,MW,0.0,0.0
bus213,bus236,2023,MW,0.0,0.0
bus236,bus255,2023,MW,0.0,0.0
bus255,bus236,2023,MW,0.0,0.0
bus238,bus230,2023,MW,0.0,0.0
bus230,bus238,2023,MW,0.0,0.0
bus238,bus237,2023,MW,0.0,0.0
bus237,bus238,2023,MW,0.0,0.0
bus238,bus242,2023,MW,0.0,0.0
bus242,bus238,2023,MW,0.0,0.0
bus238,bus243,2023,MW,0.0,0.0
bus243,bus238,2023,MW,0.0,0.0
bus238,bus344,2023,MW,0.0,0.0
bus344,bus238,2023,MW,0.0,0.0
bus239,bus238,2023,MW,0.0,0.0
bus238,bus239,2023,MW,0.0,0.0
bus239,bus263,2023,MW,0.0,0.0
bus263,bus239,2023,MW,0.0,0.0
bus24,bus17,2023,MW,0.0,0.0
bus17,bus24,2023,MW,0.0,0.0
bus24,bus27,2023,MW,0.0,0.0
bus27,bus24,2023,MW,0.0,0.0
bus240,bus344,2023,MW,0.0,0.0
bus344,bus240,2023,MW,0.0,0.0
bus240,bus345,2023,MW,0.0,0.0
bus345,bus240,2023,MW,0.0,0.0
bus241,bus240,2023,MW,0.0,0.0
bus240,bus241,2023,MW,0.0,0.0
bus242,bus241,2023,MW,0.0,0.0
bus241,bus242,2023,MW,0.0,0.0
bus242,bus243,2023,MW,0.0,0.0
bus243,bus242,2023,MW,0.0,0.0
bus243,bus233,2023,MW,0.0,0.0
bus233,bus243,2023,MW,0.0,0.0
bus243,bus241,2023,MW,0.0,0.0
bus241,bus243,2023,MW,0.0,0.0
bus244,bus245,2023,MW,0.0,0.0
bus245,bus244,2023,MW,0.0,0.0
bus245,bus236,2023,MW,0.0,0.0
bus236,bus245,2023,MW,0.0,0.0
bus245,bus246,2023,MW,0.0,0.0
bus246,bus245,2023,MW,0.0,0.0
bus245,bus248,2023,MW,0.0,0.0
bus248,bus245,2023,MW,0.0,0.0
bus246,bus249,2023,MW,0.0,0.0
bus249,bus246,2023,MW,0.0,0.0
bus246,bus250,2023,MW,0.0,0.0
bus250,bus246,2023,MW,0.0,0.0
bus247,bus248,2023,MW,0.0,0.0
bus248,bus247,2023,MW,0.0,0.0
bus247,bus310,2023,MW,0.0,0.0
bus310,bus247,2023,MW,0.0,0.0
bus248,bus250,2023,MW,0.0,0.0
bus250,bus248,2023,MW,0.0,0.0
bus249,bus248,2023,MW,0.0,0.0
bus248,bus249,2023,MW,0.0,0.0
bus25,bus26,2023,MW,0.0,0.0
bus26,bus25,2023,MW,0.0,0.0
bus250,bus247,2023,MW,0.0,0.0
bus247,bus250,2023,MW,0.0,0.0
bus250,bus253,2023,MW,0.0,0.0
bus253,bus250,2023,MW,0.0,0.0
bus251,bus252,2023,MW,0.0,0.0
bus252,bus251,2023,MW,0.0,0.0
bus252,bus250,2023,MW,0.0,0.0
bus250,bus252,2023,MW,0.0,0.0
bus253,bus257,2023,MW,0.0,0.0
bus257,bus253,2023,MW,0.0,0.0
bus253,bus259,2023,MW,0.0,0.0
bus259,bus253,2023,MW,0.0,0.0
bus254,bus245,2023,MW,0.0,0.0
bus245,bus254,2023,MW,0.0,0.0
bus255,bus245,2023,MW,0.0,0.0
bus245,bus255,2023,MW,0.0,0.0
bus256,bus258,2023,MW,0.0,0.0
bus258,bus256,2023,MW,0.0,0.0
bus257,bus262,2023,MW,0.0,0.0
bus262,bus257,2023,MW,0.0,0.0
bus259,bus258,2023,MW,0.0,0.0
bus258,bus259,2023,MW,0.0,0.0
bus26,bus24,2023,MW,0.0,0.0
bus24,bus26,2023,MW,0.0,0.0
bus260,bus262,2023,MW,0.0,0.0
bus262,bus260,2023,MW,0.0,0.0
bus261,bus262,2023,MW,0.0,0.0
bus262,bus261,2023,MW,0.0,0.0
bus261,bus268,2023,MW,0.0,0.0
bus268,bus261,2023,MW,0.0,0.0
bus262,bus258,2023,MW,0.0,0.0
bus258,bus262,2023,MW,0.0,0.0
bus262,bus263,2023,MW,0.0,0.0
bus263,bus262,2023,MW,0.0,0.0
bus264,bus266,2023,MW,0.0,0.0
bus266,bus264,2023,MW,0.0,0.0
bus264,bus267,2023,MW,0.0,0.0
bus267,bus264,2023,MW,0.0,0.0
bus265,bus264,2023,MW,0.0,0.0
bus264,bus265,2023,MW,0.0,0.0
bus265,bus266,2023,MW,0.0,0.0
bus266,bus265,2023,MW,0.0,0.0
bus266,bus231,2023,MW,0.0,0.0
bus231,bus266,2023,MW,0.0,0.0
