zone1,zone2,unit,value
bus31,bus32,km,7.605037518
bus32,bus31,km,0.0
bus310,bus308,km,18.92236095
bus308,bus310,km,0.0
bus310,bus336,km,74.70237634
bus336,bus310,km,0.0
bus311,bus312,km,9.12943132
bus312,bus311,km,0.0
bus312,bus313,km,0.772056277
bus313,bus312,km,0.0
bus313,bus321,km,8.511045086
bus321,bus313,km,0.0
bus315,bus316,km,2.235657802
bus316,bus315,km,0.0
bus315,bus73,km,30.21499097
bus73,bus315,km,0.0
bus315,bus76,km,22.63755933
bus76,bus315,km,0.0
bus316,bus317,km,1.849034212
bus317,bus316,km,0.0
bus316,bus318,km,2.554453874
bus318,bus316,km,0.0
bus317,bus333,km,8.186854533
bus333,bus317,km,0.0
bus318,bus319,km,7.346453705
bus319,bus318,km,0.0
bus318,bus335,km,34.19393862
bus335,bus318,km,0.0
bus319,bus320,km,1.10054988
bus320,bus319,km,0.0
bus321,bus314,km,10.90438563
bus314,bus321,km,0.0
bus321,bus323,km,6.338043748
bus323,bus321,km,0.0
bus321,bus325,km,13.42315517
bus325,bus321,km,0.0
bus323,bus324,km,0.6636962
bus324,bus323,km,0.0
bus324,bus326,km,1.742580004
bus326,bus324,km,0.0
bus325,bus340,km,17.12733048
bus340,bus325,km,0.0
bus326,bus327,km,1.645446709
bus327,bus326,km,0.0
bus327,bus328,km,3.671062182
bus328,bus327,km,0.0
bus328,bus325,km,8.597235948
bus325,bus328,km,0.0
bus328,bus329,km,4.244474423
bus329,bus328,km,0.0
bus328,bus330,km,10.09405959
bus330,bus328,km,0.0
bus328,bus336,km,22.28728347
bus336,bus328,km,0.0
bus328,bus338,km,16.67700259
bus338,bus328,km,0.0
bus329,bus322,km,15.4106511
bus322,bus329,km,0.0
bus329,bus338,km,14.09826622
bus338,bus329,km,0.0
bus329,bus363,km,74.88872634
bus363,bus329,km,0.0
bus33,bus37,km,2.410367643
bus37,bus33,km,0.0
bus33,bus44,km,28.14322252
bus44,bus33,km,0.0
bus330,bus332,km,29.96737234
bus332,bus330,km,0.0
bus331,bus320,km,13.75001183
bus320,bus331,km,0.0
bus331,bus322,km,6.565951741
bus322,bus331,km,0.0
bus332,bus333,km,2.610326529
bus333,bus332,km,0.0
bus332,bus334,km,2.540014728
bus334,bus332,km,0.0
bus336,bus337,km,25.69299236
bus337,bus336,km,0.0
bus337,bus248,km,102.0854697
bus248,bus337,km,0.0
bus337,bus363,km,40.80805926
bus363,bus337,km,0.0
bus338,bus339,km,12.45709565
bus339,bus338,km,0.0
bus338,bus340,km,16.69210736
bus340,bus338,km,0.0
bus339,bus353,km,61.95813352
bus353,bus339,km,0.0
bus34,bus31,km,76.83606357
bus31,bus34,km,0.0
bus34,bus35,km,19.50395842
bus35,bus34,km,0.0
bus34,bus54,km,65.28648532
bus54,bus34,km,0.0
bus340,bus310,km,18.55737694
bus310,bus340,km,0.0
bus342,bus248,km,20.59069595
bus248,bus342,km,0.0
bus343,bus342,km,5.14917221
bus342,bus343,km,0.0
bus344,bus341,km,26.42738596
bus341,bus344,km,0.0
bus346,bus243,km,14.97524486
bus243,bus346,km,0.0
bus347,bus349,km,6.267219057
bus349,bus347,km,0.0
bus347,bus350,km,4.872238932
bus350,bus347,km,0.0
bus347,bus354,km,65.70997582
bus354,bus347,km,0.0
bus348,bus342,km,53.0415333
bus342,bus348,km,0.0
bus348,bus347,km,2.252751195
bus347,bus348,km,0.0
bus350,bus351,km,0.707717184
bus351,bus350,km,0.0
bus351,bus346,km,11.59054846
bus346,bus351,km,0.0
bus352,bus243,km,25.43344939
bus243,bus352,km,0.0
bus352,bus348,km,4.708014663
bus348,bus352,km,0.0
bus353,bus360,km,42.68156439
bus360,bus353,km,0.0
bus354,bus355,km,18.35210817
bus355,bus354,km,0.0
bus355,bus347,km,45.49801465
bus347,bus355,km,0.0
bus356,bus354,km,4.299613612
bus354,bus356,km,0.0
bus357,bus356,km,23.63918982
bus356,bus357,km,0.0
bus358,bus357,km,1.769607258
bus357,bus358,km,0.0
bus358,bus365,km,40.27978472
bus365,bus358,km,0.0
bus359,bus354,km,40.79939986
bus354,bus359,km,0.0
bus359,bus358,km,3.665700925
bus358,bus359,km,0.0
bus359,bus399,km,31.19730237
bus399,bus359,km,0.0
bus36,bus35,km,1.448569429
bus35,bus36,km,0.0
bus360,bus364,km,75.79254512
bus364,bus360,km,0.0
bus361,bus360,km,17.41062653
bus360,bus361,km,0.0
bus361,bus362,km,0.540934684
bus362,bus361,km,0.0
bus363,bus361,km,12.64381725
bus361,bus363,km,0.0
bus363,bus364,km,81.44112659
bus364,bus363,km,0.0
bus366,bus367,km,5.32430658
bus367,bus366,km,0.0
bus367,bus364,km,44.94394703
bus364,bus367,km,0.0
bus368,bus369,km,1.493728049
bus369,bus368,km,0.0
bus368,bus372,km,50.31257197
bus372,bus368,km,0.0
bus368,bus460,km,45.17233201
bus460,bus368,km,0.0
bus369,bus371,km,96.49121381
bus371,bus369,km,0.0
bus37,bus34,km,5.629052396
bus34,bus37,km,0.0
bus37,bus38,km,3.11798913
bus38,bus37,km,0.0
bus370,bus372,km,50.36823305
bus372,bus370,km,0.0
bus372,bus397,km,112.1971801
bus397,bus372,km,0.0
bus372,bus399,km,140.1955299
bus399,bus372,km,0.0
bus373,bus380,km,26.24794118
bus380,bus373,km,0.0
bus374,bus373,km,19.89400198
bus373,bus374,km,0.0
bus374,bus378,km,3.473780109
bus378,bus374,km,0.0
bus375,bus371,km,88.55712018
bus371,bus375,km,0.0
bus375,bus456,km,65.16826235
bus456,bus375,km,0.0
bus376,bus375,km,6.045886781
bus375,bus376,km,0.0
bus376,bus377,km,1.255884306
bus377,bus376,km,0.0
bus376,bus455,km,40.88902688
bus455,bus376,km,0.0
bus377,bus374,km,20.17513718
bus374,bus377,km,0.0
bus378,bus368,km,150.6588118
bus368,bus378,km,0.0
bus378,bus377,km,21.04889426
bus377,bus378,km,0.0
bus378,bus402,km,170.5259849
bus402,bus378,km,0.0
bus378,bus452,km,169.2602972
bus452,bus378,km,0.0
bus379,bus377,km,39.55457463
bus377,bus379,km,0.0
bus379,bus454,km,43.9554966
bus454,bus379,km,0.0
bus38,bus34,km,8.057610369
bus34,bus38,km,0.0
bus381,bus382,km,6.943364529
bus382,bus381,km,0.0
bus381,bus383,km,7.50376984
bus383,bus381,km,0.0
bus381,bus384,km,31.02375028
bus384,bus381,km,0.0
bus381,bus386,km,7.735179989
bus386,bus381,km,0.0
bus381,bus390,km,40.38576883
bus390,bus381,km,0.0
bus382,bus384,km,26.00284811
bus384,bus382,km,0.0
bus383,bus373,km,82.54427896
bus373,bus383,km,0.0
bus383,bus379,km,77.95732069
bus379,bus383,km,0.0
bus384,bus385,km,6.314792438
bus385,bus384,km,0.0
bus384,bus418,km,86.59038555
bus418,bus384,km,0.0
bus385,bus386,km,31.19605554
bus386,bus385,km,0.0
bus385,bus404,km,19.30386328
bus404,bus385,km,0.0
bus386,bus374,km,92.87639938
bus374,bus386,km,0.0
bus387,bus381,km,28.50503687
bus381,bus387,km,0.0
bus387,bus388,km,2.941096459
bus388,bus387,km,0.0
bus388,bus386,km,20.23165547
bus386,bus388,km,0.0
bus389,bus390,km,0.999147482
bus390,bus389,km,0.0
bus39,bus29,km,72.28995434
bus29,bus39,km,0.0
bus39,bus32,km,60.59568717
bus32,bus39,km,0.0
bus39,bus38,km,2.057364661
bus38,bus39,km,0.0
bus390,bus391,km,36.01983849
bus391,bus390,km,0.0
bus391,bus392,km,64.39732171
bus392,bus391,km,0.0
bus391,bus394,km,56.40913274
bus394,bus391,km,0.0
bus392,bus390,km,99.65354403
bus390,bus392,km,0.0
bus392,bus397,km,49.13779248
bus397,bus392,km,0.0
bus394,bus211,km,44.07577292
bus211,bus394,km,0.0
bus394,bus386,km,102.3787925
bus386,bus394,km,0.0
bus394,bus393,km,1.451132248
bus393,bus394,km,0.0
bus394,bus402,km,4.610910726
bus402,bus394,km,0.0
bus395,bus396,km,4.443344252
bus396,bus395,km,0.0
bus396,bus392,km,40.50187395
bus392,bus396,km,0.0
bus396,bus397,km,8.370508824
bus397,bus396,km,0.0
bus397,bus398,km,2.556949111
bus398,bus397,km,0.0
bus399,bus394,km,106.0170799
bus394,bus399,km,0.0
bus399,bus396,km,21.55785969
bus396,bus399,km,0.0
bus399,bus400,km,1.738333013
bus400,bus399,km,0.0
bus4,bus8,km,46.13840305
bus8,bus4,km,0.0
bus4,bus96,km,118.9670922
bus96,bus4,km,0.0
bus40,bus34,km,27.79027857
bus34,bus40,km,0.0
bus400,bus358,km,28.66989567
bus358,bus400,km,0.0
bus400,bus398,km,10.71550083
bus398,bus400,km,0.0
bus401,bus212,km,42.43519729
bus212,bus401,km,0.0
bus401,bus393,km,18.72279814
bus393,bus401,km,0.0
bus402,bus229,km,222.4536913
bus229,bus402,km,0.0
bus402,bus387,km,95.50401233
bus387,bus402,km,0.0
bus403,bus387,km,61.83167327
bus387,bus403,km,0.0
bus405,bus420,km,51.08975916
bus420,bus405,km,0.0
bus406,bus209,km,83.02040354
bus209,bus406,km,0.0
bus406,bus405,km,2.351838435
bus405,bus406,km,0.0
bus407,bus409,km,27.86108443
bus409,bus407,km,0.0
bus407,bus420,km,47.4056134
bus420,bus407,km,0.0
bus408,bus407,km,10.09810356
