zone1,zone2,unit,value
bus340,bus310,fraction,0.95
bus310,bus340,fraction,0.95
bus342,bus248,fraction,0.95
bus248,bus342,fraction,0.95
bus343,bus342,fraction,0.95
bus342,bus343,fraction,0.95
bus344,bus341,fraction,0.95
bus341,bus344,fraction,0.95
bus346,bus243,fraction,0.95
bus243,bus346,fraction,0.95
bus347,bus349,fraction,0.95
bus349,bus347,fraction,0.95
bus347,bus350,fraction,0.95
bus350,bus347,fraction,0.95
bus347,bus354,fraction,0.95
bus354,bus347,fraction,0.95
bus348,bus342,fraction,0.95
bus342,bus348,fraction,0.95
bus348,bus347,fraction,0.95
bus347,bus348,fraction,0.95
bus350,bus351,fraction,0.95
bus351,bus350,fraction,0.95
bus351,bus346,fraction,0.95
bus346,bus351,fraction,0.95
bus352,bus243,fraction,0.95
bus243,bus352,fraction,0.95
bus352,bus348,fraction,0.95
bus348,bus352,fraction,0.95
bus353,bus360,fraction,0.95
bus360,bus353,fraction,0.95
bus354,bus355,fraction,0.95
bus355,bus354,fraction,0.95
bus355,bus347,fraction,0.95
bus347,bus355,fraction,0.95
bus356,bus354,fraction,0.95
bus354,bus356,fraction,0.95
bus357,bus356,fraction,0.95
bus356,bus357,fraction,0.95
bus358,bus357,fraction,0.95
bus357,bus358,fraction,0.95
bus358,bus365,fraction,0.95
bus365,bus358,fraction,0.95
bus359,bus354,fraction,0.95
bus354,bus359,fraction,0.95
bus359,bus358,fraction,0.95
bus358,bus359,fraction,0.95
bus359,bus399,fraction,0.95
bus399,bus359,fraction,0.95
bus36,bus35,fraction,0.95
bus35,bus36,fraction,0.95
bus360,bus364,fraction,0.95
bus364,bus360,fraction,0.95
bus361,bus360,fraction,0.95
bus360,bus361,fraction,0.95
bus361,bus362,fraction,0.95
bus362,bus361,fraction,0.95
bus363,bus361,fraction,0.95
bus361,bus363,fraction,0.95
bus363,bus364,fraction,0.95
bus364,bus363,fraction,0.95
bus366,bus367,fraction,0.95
bus367,bus366,fraction,0.95
bus367,bus364,fraction,0.95
bus364,bus367,fraction,0.95
bus368,bus369,fraction,0.95
bus369,bus368,fraction,0.95
bus368,bus372,fraction,0.95
bus372,bus368,fraction,0.95
bus368,bus460,fraction,0.95
bus460,bus368,fraction,0.95
bus369,bus371,fraction,0.95
bus371,bus369,fraction,0.95
bus37,bus34,fraction,0.95
bus34,bus37,fraction,0.95
bus37,bus38,fraction,0.95
bus38,bus37,fraction,0.95
bus370,bus372,fraction,0.95
bus372,bus370,fraction,0.95
bus372,bus397,fraction,0.95
bus397,bus372,fraction,0.95
bus372,bus399,fraction,0.95
bus399,bus372,fraction,0.95
bus373,bus380,fraction,0.95
bus380,bus373,fraction,0.95
bus374,bus373,fraction,0.95
bus373,bus374,fraction,0.95
